"id","title","value","link","group"
"195","Selbstmedikationspraktiken zur Vorbeugung oder Behandlung von COVID-19: Eine systematische Überprüfung","1","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0259317","Therapeutics"
"196","Plos One","2","","Plos One"
"197","20-Wochen-Studie zu den klinischen Ergebnissen der rezeptfreien COVID-19-Prophylaxe und -Behandlung","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8264737/","Therapeutics"
"198","Biochemische Bedeutung der Serum-Ferritin- und D-Dimer-Parameter bei der Diagnose von COVID 19","1","https://www.sciencedirect.com/science/article/pii/S1319562X21007282","Therapeutics"
"199","Saudi Journal of Biological Sciences","1","","Saudi Journal of Biological Sciences"
"200","Vorhersage der Überlebenschancen bei COVID-19 durch Zink, Alter und Selenoprotein P als zusammengesetzter Biomarker","1","https://www.sciencedirect.com/science/article/pii/S2213231720309691","Therapeutics"
"201","Redox Biology","1","","Redox Biology"
"202","Ausbruch von SARS-CoV-2-Infektionen, einschließlich COVID-19-Impfstoff-Durchbruchsinfektionen, im Zusammenhang mit großen öffentlichen Versammlungen - Barnstable County, Massachusetts, Juli 2021 ","1","https://pubmed.ncbi.nlm.nih.gov/34351882/","Vaccines"
"203","Identifizierung von Inhibitoren der 3-Chymotrypsin-ähnlichen Protease (3CLPro) als potenzielle Wirkstoffe gegen SARS-CoV-2","1","https://www.nature.com/articles/s42003-020-01577-x","Therapeutics"
"204","Communications Biology","1","","Communications Biology"
"205","Entzündungshemmende Wirkung von Interleukin-6 aus der Muskulatur und seine Beteiligung am Fettstoffwechsel","1","https://www.mdpi.com/1422-0067/22/18/9889/htm","Therapeutics"
"206","Antikörpertiter sinken 3 Monate nach der Impfung mit BNT162b2","1","https://www.tandfonline.com/doi/full/10.1080/22221751.2021.1953403","Vaccines"
"207","Taylor & Francis","2","","Taylor & Francis"
"208","Thrombotische Thrombozytopenie nach ChAdOx1 nCov-19-Impfung","1","https://www.nejm.org/doi/10.1056/NEJMoa2104840","Vaccines"
"209","New England Journal of Medicine","1","","New England Journal of Medicine"
"210","Vitamin D und COVID-19: Die Rolle von ACE2, Alter, Geschlecht und ethnischer Zugehörigkeit","1","https://europepmc.org/article/MED/33990955","Therapeutics"
"211","Journal of Medical Virology","1","","Journal of Medical Virology"
"212","Hypokalzämie bei COVID-19: Prävalenz, klinische Bedeutung und therapeutische Implikationen","1","https://link.springer.com/article/10.1007%2Fs11154-021-09655-z","Therapeutics"
"213","Calcifediol-Behandlung und COVID-19-bezogene Ergebnisse","1","https://academic.oup.com/jcem/article/106/10/e4017/6294179","Therapeutics"
"214","The Journal of Clinical Endocrinology & Metabolism","1","","The Journal of Clinical Endocrinology & Metabolism"
"215","Hesperidin ist ein potenzieller Hemmstoff gegen die SARS-CoV-2-Infektion","1","https://www.mdpi.com/2072-6643/13/8/2800/htm","Therapeutics"
"216","Könnten Nahrungsergänzungsmittel als therapeutische Adjuvantien bei COVID-19 wirken?","1","https://ijponline.biomedcentral.com/articles/10.1186/s13052-021-00990-0","Therapeutics"
"217","Italian Journal of Pediatrics","1","","Italian Journal of Pediatrics"
"218","Auswirkungen einer täglichen hochdosierten oralen Vitamin-D-Therapie auf die Entzündungsmarker bei Patienten mit COVID 19-Krankheit","1","https://www.nature.com/articles/s41598-021-90189-4","Therapeutics"
"219","Scientific Reports","1","","Scientific Reports"
"220","COVID-19: Stigmatisierung der Ungeimpften ist nicht gerechtfertigt","1","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)02243-1/fulltext#seccestitle10","Vaccines"
"221","Spektrum der neurologischen Komplikationen nach COVID-19-Impfung","1","https://link.springer.com/article/10.1007%2Fs10072-021-05662-9","Vaccines"
"222","Neurological Sciences","1","","Neurological Sciences"
"223","Selenmangel aufgrund von Ernährung, Schwangerschaft, schwerer Krankheit oder COVID-19 - ein vermeidbarer Auslöser für Autoimmunerkrankungen","1","https://www.mdpi.com/1422-0067/22/16/8532/htm","Therapeutics"
"224","Behandlung von SARS-CoV-2 mit hochdosierten oralen Zinksalzen: Ein Bericht über vier Patienten","1","https://www.sciencedirect.com/science/article/pii/S1201971220304410","Therapeutics"
"225","Die Rolle von Vitamin D bei der Verringerung der SARS-CoV-2-Infektion: Ein Update","1","https://www.sciencedirect.com/science/article/pii/S1567576921003222","Therapeutics"
"226","International Immunopharmacology","1","","International Immunopharmacology"
"227","Niedrige Zinkwerte bei der Aufnahme stehen in Zusammenhang mit schlechten klinischen Ergebnissen bei SARS-CoV-2-Infektion","1","https://www.mdpi.com/2072-6643/13/2/562/htm","Therapeutics"
"228","Bewertung des Vitamin-D-Status und dessen Zusammenhang mit den klinischen Ergebnissen bei COVID-19-Patienten in Pakistan","1","https://www.ajtmh.org/view/journals/tpmd/aop/article-10.4269-ajtmh.21-0577/article-10.4269-ajtmh.21-0577.xml?tab_body=abstract","Therapeutics"
"229","The American Journal of Tropical Medicine and Hygiene","1","","The American Journal of Tropical Medicine and Hygiene"
"230","Hesperidin und SARS-CoV-2: Neues Licht auf die gesundheitliche Funktion von Zitrusfrüchten","1","https://www.mdpi.com/2076-3921/9/8/742/htm","Therapeutics"
"231","Antioxidants","1","","Antioxidants"
"232","Enträtselung der Rolle des Vitamin-D-Status und des Melanins bei Covid-19","1","https://www.spandidos-publications.com/10.3892/ijmm.2020.4802","Therapeutics"
"233","Ivermectin: ein vielseitiges, mit dem Nobelpreis ausgezeichnetes Medikament mit nachgewiesener Wirksamkeit gegen eine neue globale Geißel, COVID-19","1","https://www.sciencedirect.com/science/article/pii/S2052297521000883?via%3Dihub","Therapeutics"
"234","Zink zur Vorbeugung oder Behandlung von akuten viralen Atemwegsinfektionen bei Erwachsenen: eine schnelle systematische Überprüfung und Meta-Analyse von randomisierten kontrollierten Studien","1","https://bmjopen.bmj.com/content/11/11/e047474.long","Therapeutics"
"235","Myokarditis nach Immunisierung mit mRNA-COVID-19-Impfstoffen bei Angehörigen des US-Militärs","1","https://jamanetwork.com/journals/jamacardiology/fullarticle/2781601","Vaccines"
"236","JAMA Cardiology","2","","JAMA Cardiology"
"237","Kein signifikanter Unterschied in der Viruslast zwischen geimpften und ungeimpften, asymptomatischen und symptomatischen Gruppen bei Infektion mit der SARS-CoV-2 Delta-Variante","1","https://www.medrxiv.org/content/10.1101/2021.09.28.21264262v2.full","Virus"
"238","Bedeutung von Vitamin D 3 bei der COVID-19-Infektion","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260490/","Therapeutics"
"239","Gene Reports","1","","Gene Reports"
"240","Mögliche Rolle von Vitamin D bei der COVID-19-Impfung","1","https://www.mdpi.com/1422-0067/22/16/8988/htm","Therapeutics"
"241","Immunoassay auf der Basis von Magnetkügelchen ermöglicht schnellen, kostengünstigen und quantitativen Nachweis von menschlichen SARS-CoV-2-Antikörpern","1","https://pubs.acs.org/doi/10.1021/acssensors.0c02544","Immunity"
"242","ACS","1","","ACS"
"243","Ansätze zum Ernährungsscreening bei Patienten mit Coronavirus-Erkrankungen 2019 (COVID-19)","1","https://www.mdpi.com/1660-4601/18/5/2772/htm","Therapeutics"
"244","Steht das Heparin-induzierte Thrombozytopenie-ähnliche Syndrom im Zusammenhang mit dem ChAdOx-Impfstoff mit dem Impfstoff selbst oder mit einer Autoimmunreaktion auf das Coronavirus des schweren akuten respiratorischen Syndroms 2 in Zusammenhang: Erkenntnisse und Implikationen aus früheren Berichten über infizierte Fälle?","1","https://www.sciencedirect.com/science/article/pii/S2052297521000482","Vaccines"
"245","New Microbes and New Infections","1","","New Microbes and New Infections"
"246","Impfstoffinduzierte thrombotische Thrombozytopenie: Das düstere Kapitel einer Erfolgsgeschichte"".","1","https://www.sciencedirect.com/science/article/pii/S2589936821000256?via%3Dihub","Vaccines"
"247","Praktische Empfehlungen zur Aufrechterhaltung eines aktiven Lebensstils während der COVID-19-Pandemie: Eine systematische Literaturübersicht","1","https://www.mdpi.com/1660-4601/17/17/6265/htm","Therapeutics"
"248","Bewegung als positiver Modulator des Alterns","1","https://www.mdpi.com/1422-0067/22/12/6278/htm","Therapeutics"
"249","Prothrombotische Immunthrombozytopenie nach COVID-19-Impfung","1","https://www.sciencedirect.com/science/article/pii/S0006497121009411","Vaccines"
"250","Blood","1","","Blood"
"251","Erforschung der Rolle von Schwermetallen und ihren Derivaten in der Pathophysiologie von COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8391869/","Therapeutics"
"252","Direkte und indirekte Auswirkungen von COVID-19 bei gebrechlichen älteren Menschen: Interventionen und Empfehlungen","1","https://www.mdpi.com/2075-4426/11/10/999/htm","Therapeutics"
"253","Journal of Personalized Medicine","1","","Journal of Personalized Medicine"
"254","Niedrige 25-Hydroxyvitamin D (Vitamin D)-Serumspiegel sind mit der Anfälligkeit für COVID-19, dem Schweregrad und der Sterblichkeit verbunden: Eine systematische Überprüfung und Meta-Analyse","1","https://www.frontiersin.org/articles/10.3389/fnut.2021.660420/full","Therapeutics"
"255","Mechanismen der Immunthrombose bei impfstoffinduzierter thrombotischer Thrombozytopenie (VITT) im Vergleich zur natürlichen SARS-CoV-2-Infektion","1","https://www.sciencedirect.com/science/article/pii/S0896841121000706","Vaccines"
"256","Journal of Autoimmunity","2","","Journal of Autoimmunity"
"257","Die Rolle von Vitamin C, Vitamin D und Selen im Immunsystem gegen COVID-19","1","https://www.mdpi.com/1420-3049/25/22/5346/htm","Therapeutics"
"258","Molecules","1","","Molecules"
"259","Magnesium bei Infektionskrankheiten älterer Menschen","1","https://www.mdpi.com/2072-6643/13/1/180/htm","Therapeutics"
"260","Gibt es eine Rolle für immunstärkende Therapien bei akut erkrankten Patienten mit Coronavirus-Erkrankung 2019?","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8452248/","Therapeutics"
"261","Current Opinion in Critical Care","1","","Current Opinion in Critical Care"
"262","Blutgerinnsel und Blutungsereignisse nach BNT162b2 und ChAdOx1 nCoV-19 Impfstoff: Eine Analyse der europäischen Daten","1","https://www.sciencedirect.com/science/article/pii/S0896841121000937?via%3Dihub","Vaccines"
"263","SARS-CoV-2-Infektionsraten von Antikörper-positivem im Vergleich zu Antikörper-negativem Gesundheitspersonal in England: eine große, multizentrische, prospektive Kohortenstudie (SIREN)","1","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00675-9/fulltext","Immunity"
"264","Das COVID-19-Mortalitätsrisiko korreliert umgekehrt mit dem Vitamin-D3-Status, und eine Mortalitätsrate nahe Null könnte theoretisch bei 50 ng/ml 25(OH)D3 erreicht werden: Ergebnisse einer systematischen Überprüfung und Meta-Analyse","1","https://www.medrxiv.org/content/10.1101/2021.09.22.21263977v1","Therapeutics"
"265","Anstieg von COVID-19 steht in 68 Ländern und 2947 Bezirken in den Vereinigten Staaten in keinem Zusammenhang mit dem Grad der Impfung","1","https://link.springer.com/article/10.1007/s10654-021-00808-7","Vaccines"
"266","Springer","1","","Springer"
"267","Wirksamkeit und Effektivität des COVID-19-Impfstoffs - der Elefant (nicht) im Raum","1","https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(21)00069-0/fulltext","Vaccines"
"268","Übertragungspotenzial von geimpften und ungeimpften Personen, die mit der SARS-CoV-2-Delta-Variante in einem Bundesgefängnis infiziert waren, Juli-August 2021 - Preprint","1","https://www.medrxiv.org/content/10.1101/2021.11.12.21265796v1.full","Vaccines"
"269","Working Paper Preprint","1","","Working Paper Preprint"
"270","Vitamin D in der Zeit der Coronavirus-Pandemie (COVID-19) - eine klinische Untersuchung aus der Sicht der öffentlichen Gesundheit und der öffentlichen psychischen Gesundheit","1","https://journals.sagepub.com/doi/10.1177/20451253211027699","Therapeutics"
"271","Therapeutic Advances in Psychopharmacology","1","","Therapeutic Advances in Psychopharmacology"
"272","Auswirkungen einer zweiwöchigen Supplementierung mit 5000 IE gegenüber 1000 IE Vitamin D3 auf die Verringerung der Symptome bei Patienten mit leichter bis mittelschwerer Covid-19-Erkrankung: Eine randomisierte klinische Studie","1","https://www.mdpi.com/2072-6643/13/7/2170/htm","Therapeutics"
"273","Zusammenhang zwischen Vitamin-D-Mangel und dem Schweregrad von COVID-19 und der Sterblichkeit in der iranischen Bevölkerung: eine prospektive Beobachtungsstudie","1","https://www.accjournal.org/journal/view.php?doi=10.4266/acc.2021.00605","Therapeutics"
"274","Acute and Critical Care","1","","Acute and Critical Care"
"275","COVID-19-Sterblichkeit steht mit niedrigen Vitamin-D-Spiegeln bei Patienten mit Risikofaktoren und/oder fortgeschrittenem Alter in Verbindung","1","https://www.sciencedirect.com/science/article/pii/S2405457721011293","Therapeutics"
"276","Kann die Zufuhr von Spurenelementen (Cu, Se und Zn) die menschliche Immunität gegen COVID-19 und seine neuen Varianten verstärken?","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8127438/","Therapeutics"
"277","Dem CDC gemeldete COVID-19-Impfstoff-Durchbruchsinfektionen - Vereinigte Staaten, 1. Januar bis 30. April 2021 ","1","https://pubmed.ncbi.nlm.nih.gov/34043615/","Vaccines"
"278","Vitamine, Nahrungsergänzungsmittel und COVID-19: eine Übersicht über die derzeit verfügbaren Daten","1","https://www.drugsincontext.com/vitamins-supplements-and-covid-19-a-review-of-currently-available-evidence/","Therapeutics"
"279","Drugs in Context","1","","Drugs in Context"
"280","Stärkung der Immunität bei Virusinfektionen, mit besonderer Berücksichtigung von COVID-19: Ein Überblick","1","https://www.sciencedirect.com/science/article/pii/S1871402120300801","Therapeutics"
"281","Diabetes & Metabolic Syndrome","1","","Diabetes & Metabolic Syndrome"
"282","Pharmakologische Behandlung von Patienten mit leichtem bis mittelschwerem COVID-19: Ein umfassender Überblick","1","https://www.mdpi.com/1660-4601/18/13/7212/htm","Therapeutics"
"283","Environmental Research and Public Health","1","","Environmental Research and Public Health"
"284","Die Bedeutung pflanzlicher Se-Verbindungen für die menschliche Gesundheit in der Ära der SARS-CoV-2 (COVID-19)-Pandemie","1","https://www.mdpi.com/2076-3921/10/7/1031/htm","Therapeutics"
"285","Antioxidants (Basel, CH)","1","","Antioxidants (Basel, CH)"
"286","Perspektiven der impfstoffinduzierten thrombotischen Thrombozytopenie","1","https://www.sciencedirect.com/science/article/pii/S0896841121000718","Vaccines"
"287","Zink","1","https://www.sciencedirect.com/science/article/abs/pii/S1043452621000036","Therapeutics"
"288","Advances in Food and Nutrition Research","1","","Advances in Food and Nutrition Research"
"289","Die Stärkung der Immunität der Schweizer Bevölkerung durch Mikronährstoffe: Ein narrativer Überblick und ein Aufruf zum Handeln","1","https://clinicalnutritionespen.com/article/S2405-4577(21)00114-5/fulltext","Therapeutics"
"290","Cutting Edge: Zirkulierende Exosomen mit COVID-Spike-Protein werden durch BNT162b2 (Pfizer-BioNTech)-Impfung vor der Entwicklung von Antikörpern induziert: Ein neuer Mechanismus zur Aktivierung des Immunsystems durch mRNA-Impfstoffe","1","https://www.jimmunol.org/content/early/2021/10/11/jimmunol.2100637","Vaccines"
"291","The Journal of Immunology","1","","The Journal of Immunology"
"292","Pathophysiologie der impfstoffinduzierten prothrombotischen Immunthrombozytopenie (VIPIT) und der impfstoffinduzierten thrombozytopenischen Thrombose (VITT) und ihr diagnostischer Ansatz in der Notaufnahme.","1","https://www.mdpi.com/1648-9144/57/10/997","Vaccines"
"293","Medicina","1","","Medicina"
"294","Eine prospektive Beobachtungsstudie zur Sicherheit des (rekombinanten) Impfstoffs ChAdOx1 nCoV-19 gegen Coronaviren bei Beschäftigten im Gesundheitswesen - erste Ergebnisse aus Indien","1","https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00318-7/fulltext","Vaccines"
"295","Der Einfluss des Vitamin-D-Spiegels auf die COVID-19-Infektion: Systematische Überprüfung und Meta-Analyse","1","https://www.frontiersin.org/articles/10.3389/fpubh.2021.624559/full","Therapeutics"
"296","Frontiers in Public Health","1","","Frontiers in Public Health"
"297","Antikörper-Epitope bei impfstoffinduzierter immunthrombotischer Thrombozytopenie.","1","https://www.nature.com/articles/s41586-021-03744-4","Vaccines"
"298","Nature","2","","Nature"
"299","Ultraviolette Strahlung, Vitamin D und COVID-19","1","https://www.minervamedica.it/en/freehtml.php?cod=R23Y2021N03A0366","Therapeutics"
"300","Italian Journal of Dermatology and Venereology","1","","Italian Journal of Dermatology and Venereology"
"301","Zirkulierende Exosomen sind stark an der SARS-CoV-2-Infektion beteiligt","1","https://www.frontiersin.org/articles/10.3389/fmolb.2021.632290/full","Virus"
"302","Frontiers","1","","Frontiers"
"303","Vitamin D und COVID-19: Gibt es einen Zusammenhang?","1","https://link.springer.com/article/10.1007%2Fs40200-021-00775-6","Therapeutics"
"304","Journal of Diabetes & Metabolic Disorders","1","","Journal of Diabetes & Metabolic Disorders"
"305","Quercetin und Vitamin C: Eine experimentelle, synergistische Therapie zur Vorbeugung und Behandlung von SARS-CoV-2-bedingten Erkrankungen (COVID-19)","1","https://www.frontiersin.org/articles/10.3389/fimmu.2020.01451/full","Therapeutics"
"306","Die Rolle von Vitamin D bei der Regulierung des Schweregrads von COVID-19 - eine immunologische Perspektive","1","https://www.mdpi.com/1422-0067/22/19/10559/htm","Therapeutics"
"307","Mögliche therapeutische Effekte einer adjuvanten Quercetin-Supplementierung gegen eine COVID-19-Infektion im Frühstadium: Eine prospektive, randomisierte, kontrollierte und unverblindete Studie","1","https://www.dovepress.com/possible-therapeutic-effects-of-adjuvant-quercetin-supplementation-aga-peer-reviewed-fulltext-article-IJGM","Therapeutics"
"308","Vitamin-D-Supplementierung zur Vorbeugung von COVID-19-Infektionen und Todesfällen - Die sich häufenden Belege aus epidemiologischen und Interventionsstudien erfordern sofortiges Handeln","1","https://www.mdpi.com/2072-6643/13/2/411/htm","Therapeutics"
"309","Vitamin-D-Supplementierung, COVID-19 und Krankheitsschwere: eine Meta-Analyse","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7928587/","Therapeutics"
"310","Monthly Journal of the Association of Physicians","1","","Monthly Journal of the Association of Physicians"
"311","Prothrombotische Immunthrombozytopenie nach COVID-19-Impfung","1","https://www.sciencedirect.com/science/article/pii/S0735675721003764","Vaccines"
"312","The American Journal of Emergency Medicine","1","","The American Journal of Emergency Medicine"
"313","Auswirkungen von Heimarbeit auf die kardiovaskuläre Gesundheit: Ein neues Problem im Zusammenhang mit der COVID-19-Pandemie","1","https://www.mdpi.com/1660-4601/18/22/11882/htm","Therapeutics"
"314","Kardiovaskuläre Magnetresonanzbefunde bei nicht-hospitalisierten pädiatrischen Patienten nach der Genesung von COVID-19","1","https://onlinelibrary.wiley.com/doi/10.1002/ehf2.13678","Virus"
"315","Wiley","1","","Wiley"
"316","Waldbaden und körperliche Aktivität als Waffen gegen COVID-19: eine Übersicht","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8453031/","Therapeutics"
"317","Environmental Chemistry Letters","1","","Environmental Chemistry Letters"
"318","Eine Literaturübersicht über die positive Rolle von Vitaminen und Spurenelementen: Evidenz aus veröffentlichten klinischen Studien ","1","https://www.sciencedirect.com/science/article/pii/S0946672X21000791","Therapeutics"
"319","Journal of Trace Elements in Medicine and Biology","1","","Journal of Trace Elements in Medicine and Biology"
"320","Kartierung der Wirkung von Medikamenten auf ACE2 als neuartigem Zielort für die COVID-19-Therapie","1","https://www.europeanreview.org/wp/wp-content/uploads/3923-3932.pdf","Therapeutics"
"321","European Review for Medical and Pharmacological Sciences","1","","European Review for Medical and Pharmacological Sciences"
"322","Moving forward: Verständnis der Korrelate von körperlicher Aktivität und sitzendem Verhalten während COVID-19 - Ein integrativer Überblick und ein sozialökologischer Ansatz","1","https://www.mdpi.com/1660-4601/18/20/10910/htm","Therapeutics"
"323","Während der Pandemie das Gleichgewicht halten: ein Bericht über die wichtige Rolle von Mikronährstoffen bei der Verhütung von Infektionen und der Verringerung von Komplikationen bei COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8096627/","Therapeutics"
"324","Lungenentzündung bei COVID-19: Mögliche Modulation durch Vitamin D","1","https://www.mdpi.com/2072-6643/13/7/2216/htm","Therapeutics"
"325","Kohortenstudie zur Bewertung der Wirkung von Vitamin D, Magnesium und Vitamin B12 in Kombination auf das Fortschreiten schwerer Erkrankungen bei älteren Patienten mit Coronavirus (COVID-19)","1","https://www.sciencedirect.com/science/article/pii/S0899900720303002","Therapeutics"
"326","Zusammenhänge zwischen Body-Mass-Index und COVID-19-Schweregrad bei 6-9 Millionen Menschen in England: eine prospektive, gemeindebasierte Kohortenstudie","1","https://www.thelancet.com/journals/landia/article/PIIS2213-8587(21)00089-9/fulltext","Virus"
"327","Labortests bei Verdacht auf COVID-19-Impfstoff-induzierte (immunologische) thrombotische Thrombozytopenie","1","https://onlinelibrary.wiley.com/doi/10.1111/ijlh.13629","Vaccines"
"328","International Journal of Laboratory Hematology","1","","International Journal of Laboratory Hematology"
"329","Impfstoff-induzierte immunthrombotische Thrombozytopenie und zerebrale venöse Sinusthrombose nach COVID-19-Impfung; eine systematische Überprüfung.","1","https://www.jns-journal.com/article/S0022-510X(21)00301-4/fulltext","Vaccines"
"330","Der Zusammenhang zwischen COVID-19 und VItamin D (VIVID): Eine systematische Überprüfung und Meta-Analyse","1","https://www.metabolismjournal.com/article/S0026-0495(21)00053-6/fulltext","Therapeutics"
"331","Metabolism","1","","Metabolism"
"332","Frühe und späte endokrine Komplikationen von COVID-19","1","https://ec.bioscientifica.com/view/journals/ec/10/9/EC-21-0184.xml","Therapeutics"
"333","Endocrine Connections","1","","Endocrine Connections"
"334","Ernährungswissenschaftlicher Ansatz zur Verbesserung der öffentlichen Gesundheit während einer COVID-19-Pandemie: Ein umfassender Überblick über antivirale Nährstoffe und Nutrazeutika","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8233676/","Therapeutics"
"335","Health Promotion Perspectives","1","","Health Promotion Perspectives"
"336","Ein sekundärer Ansatz mit konventionellen Medikamenten und Nahrungsergänzungsmitteln zur Wiederherstellung des aktuellen COVID-19-Status","1","https://www.sciencedirect.com/science/article/pii/S0753332221007381","Therapeutics"
"337","Biomedicine & Pharmacotherapy","1","","Biomedicine & Pharmacotherapy"
"338","SARS-CoV-2-Epitope für menschliche T-Zellen: Adaptive Immunantwort gegen COVID-19","1","https://www.sciencedirect.com/science/article/pii/S1931312821002389","Immunity"
"339","Herdenimmunität gegen Covid-19 ist im Vereinigten Königreich möglicherweise nicht erreichbar Eine hohe Impfrate wird viele Leben retten, aber sie wird wahrscheinlich nicht ausreichen, um zu verhindern, dass Covid-19 zu einer saisonalen Krankheit wird, meint Helen Thomson","1","https://www.sciencedirect.com/science/article/pii/S0262407921014482?via%3Dihub","Immunity"
"340","SARS-CoV-2-Krankheit Adjuvante Therapien und Supplemente. Durchbruch bei der Infektionsprävention","1","https://www.mdpi.com/2076-2607/9/3/525/htm","Therapeutics"
"341","Microorganisms","1","","Microorganisms"
"342","Vorhandene polymerase-spezifische T-Zellen vermehren sich bei abortivem seronegativem SARS-CoV-2","1","https://www.nature.com/articles/s41586-021-04186-8","Immunity"
"343","Risikofaktoren im Zusammenhang mit den klinischen Ergebnissen von COVID-19 und seinen Varianten im Kontext von Zytokinstürmen und Herausforderungen bei der Entwicklung von Therapien/Impfstoffen","1","https://www.mdpi.com/2076-393X/9/8/938/htm","Therapeutics"
"344","Vitamin-D-Mangel und COVID-19: Eine Fall-Kontroll-Studie in einem Krankenhaus der tertiären Versorgung in Indien","1","https://pubmed.ncbi.nlm.nih.gov/34377451/","Therapeutics"
"345","Annals of Medicine and Surgery","1","","Annals of Medicine and Surgery"
"346","Covid-19-Übertragung in Fitnesszentren in Norwegen - eine randomisierte Studie","1","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-021-12073-0","Therapeutics"
"347","BMC Public Health","1","","BMC Public Health"
"348","Ivermectin zur Vorbeugung und Behandlung von COVID-19","1","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015017.pub2/full","Therapeutics"
"349","Cochrane Library","1","","Cochrane Library"
"350","Ernährung und Immunität: Lehren für COVID-19","1","https://www.nature.com/articles/s41430-021-00949-8","Therapeutics"
"351","European Journal of Clinical Nutrition","1","","European Journal of Clinical Nutrition"
"352","Spontanes HIT-Syndrom: Kniegelenkersatz, Infektion und Parallelen zur impfstoffinduzierten immunthrombotischen Thrombozytopenie","1","https://www.thrombosisresearch.com/article/S0049-3848(21)00357-1/fulltext#%20","Vaccines"
"353","Thrombosis Research","1","","Thrombosis Research"
"354","Mechanismus und unerwünschte Wirkungen von COVID-19-Medikamenten: ein grundlegender Überblick","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8446775/","Therapeutics"
"355","International Journal of Physiology, Pathophysiology and Pharmacology","1","","International Journal of Physiology, Pathophysiology and Pharmacology"
"356","Der mRNA-Impfstoff BNT162b2 gegen SARS-CoV-2 programmiert sowohl die adaptive als auch die angeborene Immunantwort um","1","https://www.medrxiv.org/content/10.1101/2021.05.03.21256520v1.full","Vaccines"
"357","Heilpflanzen und Zink: Auswirkungen auf die COVID-19-Pandemie","1","https://www.hindawi.com/journals/tswj/2021/9632034/","Therapeutics"
"358","The Scientific World Journal","1","","The Scientific World Journal"
"359","Könnten Vitamine bei der Bekämpfung von COVID-19 helfen?","1","https://www.mdpi.com/2072-6643/12/9/2550/htm","Therapeutics"
"360","Polyanion-Immunkomplexe des Thrombozytenfaktors 4: Heparin-induzierte Thrombozytopenie und durch Impfstoffe ausgelöste immunthrombotische Thrombozytopenie.","1","https://thrombosisjournal.biomedcentral.com/articles/10.1186/s12959-021-00318-2","Vaccines"
"361","Thrombosis Journal","1","","Thrombosis Journal"
"362","Körperliche Betätigung und Immunsystem: Perspektiven der COVID-19-Pandemie","1","https://www.scielo.br/j/ramb/a/mjPLw33NLn9qyCW3yL38GZK/?lang=en","Therapeutics"
"363","Revista da Associacao Medica Brasileira","1","","Revista da Associacao Medica Brasileira"
"364","Klinische Aspekte der SARS-CoV-2-Infektion und Vitamin D","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8460842/","Therapeutics"
"365","Reviews in Endocrine & Metabolic Disorders","1","","Reviews in Endocrine & Metabolic Disorders"
"366","Zusammenhänge zwischen Vitamin-D-Status, Vitamin-D-Zufuhr und dem Risiko einer SARS-CoV-2-Infektion und dem Schweregrad der Coronavirus-Erkrankung 2019","1","https://academic.oup.com/ajcn/advance-article/doi/10.1093/ajcn/nqab389/6448988","Therapeutics"
"367","The American Journal of Clinical Nutrition","1","","The American Journal of Clinical Nutrition"
"368","Myokarditis nach COVID-19-Impfung - Eine Fallserie","1","https://www.sciencedirect.com/science/article/pii/S0264410X21011725?via%3Dihub","Vaccines"
"369","Von SARS-CoV-2 abgeleitete Peptide definieren heterologe und COVID-19-induzierte T-Zell-Erkennung","1","https://www.nature.com/articles/s41590-020-00808-x","Immunity"
"370","Die Wirkung von Vitamin-D-, Magnesium- und Zinkpräparaten auf Interferon-Signalwege und ihre Beziehung zur Kontrolle der SARS-CoV-2-Infektion","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8573303/","Therapeutics"
"371","Vitamin D und sein möglicher Nutzen für die COVID-19-Pandemie","1","https://www.endocrinepractice.org/article/S1530-891X(21)00087-2/fulltext","Therapeutics"
"372","Endocrine Practice","1","","Endocrine Practice"
"373","Klinische Merkmale und pharmakologische Behandlung der durch den COVID-19-Impfstoff induzierten immunthrombotischen Thrombozytopenie mit zerebraler Sinusthrombose. Ein Überblick.","1","https://jamanetwork.com/journals/jamacardiology/fullarticle/2783051","Vaccines"
"374","Vitamin D und COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7883732/","Therapeutics"
"375","Actualites Pharmaceutiques","1","","Actualites Pharmaceutiques"
